"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77008,8.4,percent,5.5,11.3,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77008,7.6,percent,4.2,11.0,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77008,9.1,percent,5.7,12.5,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77008,9.3,percent,6.1,12.5,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77009,16.2,percent,13.5,18.9,1372,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77009,17.5,percent,14.4,20.6,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77009,20.9,percent,17.9,23.9,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77009,21.6,percent,18.8,24.4,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77009,21.5,percent,18.6,24.4,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77009,22.6,percent,20.0,25.2,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77009,22.6,percent,19.9,25.3,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77009,21.8,percent,18.9,24.7,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77009,20.1,percent,17.2,23.0,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77010,0.0,percent,-18.1,18.1,0,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77010,0.0,percent,-17.6,17.6,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77010,0.0,percent,-17.6,17.6,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77010,4.0,percent,-2.6,10.6,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77010,3.6,percent,-3.0,10.2,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77010,3.7,percent,-2.6,10.0,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77010,4.5,percent,-3.1,12.1,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77010,7.1,percent,-4.6,18.8,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77010,0.0,percent,-47.5,47.5,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77011,33.1,percent,27.2,39.0,1296,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77011,34.5,percent,29.2,39.8,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77011,33.3,percent,27.9,38.7,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77011,34.1,percent,27.8,40.4,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77011,33.0,percent,28.0,38.0,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77011,32.3,percent,27.1,37.5,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77011,33.3,percent,27.8,38.8,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77011,28.7,percent,23.4,34.0,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77011,29.9,percent,25.0,34.8,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77012,21.3,percent,17.0,25.6,908,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77012,21.4,percent,16.7,26.1,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77012,22.6,percent,17.8,27.4,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77012,24.7,percent,20.1,29.3,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77012,24.5,percent,19.5,29.5,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77012,25.7,percent,21.2,30.2,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77012,25.5,percent,21.4,29.6,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77012,25.5,percent,21.7,29.3,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77012,21.8,percent,17.4,26.2,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77013,24.1,percent,19.6,28.6,1002,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77013,23.6,percent,18.8,28.4,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77013,21.9,percent,16.7,27.1,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77013,20.8,percent,15.9,25.7,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77013,22.6,percent,17.4,27.8,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77013,23.9,percent,18.5,29.3,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77013,23.6,percent,19.2,28.0,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77013,22.6,percent,17.2,28.0,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77013,21.0,percent,16.3,25.7,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77014,17.8,percent,14.0,21.6,1447,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77014,17.3,percent,13.5,21.1,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77014,17.4,percent,13.3,21.5,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77014,23.0,percent,18.6,27.4,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77014,25.5,percent,21.0,30.0,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77014,23.9,percent,19.1,28.7,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77014,26.1,percent,21.4,30.8,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77014,25.8,percent,20.9,30.7,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77014,20.5,percent,15.9,25.1,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77015,19.6,percent,17.0,22.2,2499,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77015,20.2,percent,17.5,22.9,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77015,20.5,percent,17.9,23.1,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77015,19.8,percent,17.1,22.5,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77015,19.3,percent,16.9,21.7,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77015,19.7,percent,17.0,22.4,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77015,19.6,percent,17.3,21.9,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77015,17.4,percent,14.8,20.0,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77015,17.9,percent,15.1,20.7,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77016,23.1,percent,20.0,26.2,1557,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77016,22.7,percent,19.2,26.2,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77016,22.3,percent,18.3,26.3,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77016,21.1,percent,17.3,24.9,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77016,24.2,percent,19.1,29.3,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77016,21.3,percent,17.5,25.1,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
